author_id,name,dblp_pid,orcid,paper_count,weighted_degree,community_id,community_label,bridge_score
pid:s/MihaelavanderSchaar,Mihaela van der Schaar,s/MihaelavanderSchaar,0000-0003-3933-6049,148,58,0,Community 1,0.0
pid:140/7324,Ahmed M. Alaa,140/7324,0000-0001-9936-7141,28,18,0,Community 1,0.0
pid:278/8353,Jonathan Crabbé,278/8353,0000-0002-0341-7712,14,14,0,Community 1,0.0
pid:125/0630,Stefan Feuerriegel,125/0630,0000-0001-7856-8729,21,12,0,Community 1,0.0
pid:281/4466,Fergus Imrie,281/4466,0000-0002-6241-0123,11,11,0,Community 1,0.0
pid:236/4591,Jeroen Berrevoets,236/4591,0000-0002-0396-5655,8,8,0,Community 1,0.0
pid:329/4240,Jonas Schweisthal,329/4240,0000-0003-3725-3821,5,5,0,Community 1,0.0
pid:350/8343,Kasia Kobalczyk,350/8343,0000-0002-1017-6881,4,4,0,Community 1,0.0
pid:353/9092,Maresa Schröder,353/9092,0009-0003-4141-4314,4,4,0,Community 1,0.0
pid:74/9023,Mingsheng Long,74/9023,0000-0001-9421-463X,66,94,1,Community 2,1.1489361702127658
pid:j/MichaelIJordan,Michael I. Jordan,j/MichaelIJordan,0000-0001-8935-817X,117,90,1,Community 2,3.333333333333333
pid:06/3456-1,Jianmin Wang 0001,06/3456-1,0000-0001-6841-7943,51,82,1,Community 2,0.2195121951219512
pid:10/6978,Michael W. Mahoney,10/6978,0000-0001-7920-4652,81,65,1,Community 2,0.27692307692307694
pid:s/IonStoica,Ion Stoica,s/IonStoica,0000-0002-5373-0088,46,49,1,Community 2,0.36734693877551017
pid:61/8262,Joseph Gonzalez 0001,61/8262,0000-0003-2921-956X,45,43,1,Community 2,0.0
pid:d/TrevorDarrell,Trevor Darrell,d/TrevorDarrell,0000-0001-5453-8533,65,39,1,Community 2,0.8205128205128205
pid:17/4402,Martin Jaggi,17/4402,0000-0003-1579-5558,65,32,1,Community 2,0.0
pid:126/1802-1,Chi Jin 0001,126/1802-1,0000-0002-2865-5610,53,31,1,Community 2,16.35483870967742
pid:29/4867-7,Yong Liu 0007,29/4867-7,0000-0003-4822-8939,17,26,1,Community 2,0.0
pid:49/3441,Jingdong Wang 0001,49/3441,0000-0002-4888-4445,31,22,1,Community 2,0.0
pid:w/HaoWang-14,Hao Wang 0014,w/HaoWang-14,0000-0002-7308-938X,36,21,1,Community 2,0.8571428571428571
pid:40/6158,Alexei A. Efros,40/6158,0000-0001-5720-8070,31,21,1,Community 2,7.0
pid:43/8355-1,Yuyang Wang 0001,43/8355-1,0000-0002-0291-7184,18,21,1,Community 2,0.0
pid:55/2270-25,Hao Zhang 0025,55/2270-25,0009-0003-8392-3977,20,20,1,Community 2,0.0
pid:64/4492-4,Tao Lin 0004,64/4492-4,0000-0002-3246-6935,19,19,1,Community 2,0.0
pid:217/3342,Sai Praneeth Karimireddy,217/3342,0000-0003-0661-2801,18,18,1,Community 2,0.0
pid:43/8919,Jiantao Jiao,43/8919,0000-0003-3766-8031,26,17,1,Community 2,2.9411764705882355
pid:173/5153,N. Benjamin Erichson,173/5153,0000-0003-0667-3516,13,15,1,Community 2,0.0
pid:53/5765,Kannan Ramchandran,53/5765,0000-0002-4567-328X,24,14,1,Community 2,0.0
pid:180/5531,Errui Ding,180/5531,0000-0002-1867-5378,16,14,1,Community 2,0.0
pid:58/2944,Jitendra Malik,58/2944,0000-0003-3695-1580,32,13,1,Community 2,0.0
pid:243/5855,Anastasios N. Angelopoulos,243/5855,0000-0001-9787-0579,13,13,1,Community 2,0.0
pid:68/4020,Peter L. Bartlett,68/4020,0000-0002-8760-3140,38,12,1,Community 2,1.5
pid:216/8804,Danielle C. Maddix,216/8804,0000-0002-2317-4068,11,12,1,Community 2,0.0
pid:154/0507-1,Xiangdong Huang 0001,154/0507-1,0000-0002-6868-4045,4,12,1,Community 2,0.0
pid:48/6396,Martin J. Wainwright,48/6396,0000-0002-8760-2236,20,11,1,Community 2,1.6363636363636362
pid:93/2394-1,Sehoon Kim 0001,93/2394-1,0000-0002-9339-5480,10,11,1,Community 2,0.0
pid:13/4526-1,Yang Shu 0001,13/4526-1,0000-0002-9009-2775,9,11,1,Community 2,0.0
pid:134/9714-2,Xiaoying Tang 0002,134/9714-2,0000-0003-3955-1195,6,11,1,Community 2,0.0
pid:83/8729-1,Yongxin Guo 0001,83/8729-1,0009-0001-8652-0722,6,11,1,Community 2,0.0
pid:169/7392,Thijs Vogels,169/7392,0000-0002-5884-4842,7,10,1,Community 2,0.0
pid:242/3871-1,Xinyang Chen 0001,242/3871-1,0000-0001-6743-838X,9,8,1,Community 2,0.0
pid:59/2741,Xiang Bai,59/2741,0000-0002-3449-5940,8,8,1,Community 2,0.0
pid:g/KennethYGoldberg,Ken Goldberg,g/KennethYGoldberg,0000-0001-6747-9499,9,7,1,Community 2,0.0
pid:96/9986-1,Zhuohan Li 0001,96/9986-1,0009-0004-1534-9106,8,7,1,Community 2,0.0
pid:44/6292-7,Ye Wang 0007,44/6292-7,0000-0002-0123-1260,7,7,1,Community 2,0.0
pid:47/7840-5,Mengmeng Wang 0005,47/7840-5,0000-0003-4035-0630,6,7,1,Community 2,0.0
pid:32/7018-15,Jie Jiang 0015,32/7018-15,0000-0001-9658-5127,5,7,1,Community 2,0.0
pid:210/6440,Junwei Pan,210/6440,0009-0003-2697-7012,4,7,1,Community 2,0.0
pid:56/11346-3,Zhuang Liu 0003,56/11346-3,0000-0001-6395-0212,15,6,1,Community 2,0.0
pid:133/8630,Farbod Roosta-Khorasani,133/8630,0000-0002-6920-7072,12,6,1,Community 2,0.0
pid:155/1906,Michal Derezinski,155/1906,0009-0001-7274-539X,12,6,1,Community 2,0.0
pid:154/3591-1,Ahmed Khaled 0001,154/3591-1,0000-0002-2217-4832,8,6,1,Community 2,3.0
pid:152/5114,Anna Rohrbach,152/5114,0000-0003-1161-6006,8,6,1,Community 2,0.0
pid:116/7143-1,Xiao Tan 0001,116/7143-1,0000-0001-9162-8570,5,6,1,Community 2,0.0
pid:177/0181,Xiaoqing Ye,177/0181,0000-0003-3268-880X,5,6,1,Community 2,0.0
pid:302/3962,Annan Yu,302/3962,0009-0007-4827-6830,4,6,1,Community 2,0.0
pid:279/6669,Coleman Hooper,279/6669,0000-0002-5890-610X,3,6,1,Community 2,0.0
pid:32/9075-2,Hongfu Liu 0002,32/9075-2,0000-0002-4261-8154,3,6,1,Community 2,0.0
pid:90/5265,François Fleuret,90/5265,0000-0001-9457-7393,31,5,1,Community 2,0.0
pid:77/377-2,Bin Yang 0002,77/377-2,0000-0002-1658-1079,11,5,1,Community 2,0.0
pid:18/813-11,Hao He 0011,18/813-11,0000-0001-8074-746X,11,5,1,Community 2,0.0
pid:49/10218-1,Zhenyu Liao 0001,49/10218-1,0000-0002-1915-8559,11,5,1,Community 2,0.0
pid:164/7281,Jeffrey Regier,164/7281,0000-0002-1472-5235,10,5,1,Community 2,0.0
pid:255/6274,Dingkang Liang,255/6274,0000-0003-3035-1373,5,5,1,Community 2,0.0
pid:99/10261-3,Yifan Sun 0003,99/10261-3,0000-0001-9859-8300,14,4,1,Community 2,0.0
pid:75/6627-11,Ke Li 0011,75/6627-11,0000-0002-3229-271X,12,4,1,Community 2,0.0
pid:178/5079-1,Yuanhao Wang 0001,178/5079-1,0000-0001-8979-0675,11,4,1,Community 2,0.0
pid:11/5155,Jan Gasthaus,11/5155,0000-0002-2007-773X,9,4,1,Community 2,0.0
pid:335/3984,Lanxiang Hu,335/3984,0000-0003-0641-3677,4,4,1,Community 2,0.0
pid:149/1265,Nika Haghtalab,149/1265,0000-0002-8612-2089,16,3,1,Community 2,0.0
pid:32/6839-2,Yixin Wang 0002,32/6839-2,0000-0002-6617-4842,12,3,1,Community 2,0.0
pid:150/6541,Evan Shelhamer,150/6541,0000-0002-5228-3095,8,3,1,Community 2,0.0
pid:147/2699-1,Richard Zhang 0001,147/2699-1,0000-0003-2507-4674,7,3,1,Community 2,0.0
pid:230/7958,Aleksander Holynski,230/7958,0009-0008-6915-0126,6,3,1,Community 2,0.0
pid:26/3707-9,Hang Zhou 0009,26/3707-9,0000-0002-2616-923X,6,3,1,Community 2,0.0
pid:60/1749-3,Zhen Dong 0003,60/1749-3,0000-0002-5951-6170,6,3,1,Community 2,0.0
pid:69/5181-7,Xudong Wang 0007,69/5181-7,0000-0002-4973-780X,4,3,1,Community 2,0.0
pid:16/2286,Max Welling,16/2286,0000-0003-1484-2121,90,45,2,Community 3,0.0
pid:03/8693,Efstratios Gavves,03/8693,0000-0001-8947-1332,29,33,2,Community 3,0.0
pid:c/GalChechik,Gal Chechik,c/GalChechik,0000-0001-9164-5303,33,27,2,Community 3,0.0
pid:01/10046,Ethan Fetaya,01/10046,0000-0003-3125-1665,24,26,2,Community 3,0.0
pid:16/6366,Richard S. Zemel,16/6366,0000-0001-9353-7509,55,24,2,Community 3,0.75
pid:142/2903,Taco Cohen,142/2903,0000-0003-3072-3405,28,22,2,Community 3,0.0
pid:07/2668,Michael M. Bronstein,07/2668,0000-0002-1262-7252,49,19,2,Community 3,0.0
pid:153/9296,Alexander Tong 0001,153/9296,0000-0002-2031-4096,18,18,2,Community 3,1.7777777777777777
pid:s/CeesSnoek,Cees Snoek,s/CeesSnoek,0000-0001-9092-1556,29,17,2,Community 3,0.0
pid:20/1669,Shie Mannor,20/1669,0000-0003-4439-7647,74,14,2,Community 3,0.0
pid:254/8524,Idan Achituve,254/8524,0000-0002-1388-9182,8,14,2,Community 3,0.0
pid:123/6759,Herke van Hoof,123/6759,0000-0002-1583-3692,14,13,2,Community 3,0.0
pid:195/1093,Kirill Neklyudov,195/1093,0000-0003-1589-023X,13,11,2,Community 3,0.0
pid:p/TPitassi,Toniann Pitassi,p/TPitassi,0000-0003-0832-2760,10,11,2,Community 3,0.0
pid:65/8774,Gabriel Synnaeve,65/8774,0000-0003-1715-3356,31,10,2,Community 3,0.0
pid:75/1281,Ling Shao 0001,75/1281,0000-0002-8264-6117,20,10,2,Community 3,0.0
pid:153/5393,Ibrahim M. Alabdulmohsin,153/5393,0000-0002-9387-5820,16,10,2,Community 3,1.7999999999999998
pid:146/0902,Christian A. Naesseth,146/0902,0000-0002-2452-8374,12,10,2,Community 3,0.0
pid:267/9431,Phillip Lippe,267/9431,0000-0002-3639-6938,11,10,2,Community 3,0.0
pid:125/4062,Mostafa Dehghani 0001,125/4062,0000-0002-9772-1095,20,9,2,Community 3,0.0
pid:43/5596,Erik J. Bekkers,43/5596,0000-0003-4418-2160,15,8,2,Community 3,0.0
pid:80/8238,Jakub M. Tomczak,80/8238,0000-0001-8634-694X,13,8,2,Community 3,0.0
pid:336/8946,Thomas P. Zollo,336/8946,0009-0001-6840-4015,6,8,2,Community 3,0.0
pid:89/3348,Dmitry P. Vetrov,89/3348,0000-0001-6863-9028,31,7,2,Community 3,0.0
pid:91/9827-1,Xiaowen Dong 0001,91/9827-1,0000-0002-1143-9786,19,7,2,Community 3,0.0
pid:79/3983,Nicolas Usunier,79/3983,0000-0002-9324-1457,18,7,2,Community 3,0.0
pid:137/3263,Jan-Willem van de Meent,137/3263,0000-0001-9465-5398,16,7,2,Community 3,0.0
pid:147/6111,Ismail Ilkan Ceylan,147/6111,0000-0003-4118-4689,13,7,2,Community 3,0.0
pid:22/8369,Fredrik Lindsten,22/8369,0000-0003-3749-5820,16,6,2,Community 3,0.0
pid:30/11478,Alexey A. Gritsenko,30/11478,0000-0003-1799-2301,9,6,2,Community 3,0.0
pid:62/6016-1,Jiaxing Huang 0001,62/6016-1,0000-0002-8681-0471,7,6,2,Community 3,0.0
pid:198/1077,Rianne van den Berg,198/1077,0000-0001-5076-2802,7,6,2,Community 3,0.0
pid:130/2463-1,Wouter Kool 0001,130/2463-1,0000-0002-1837-1454,3,6,2,Community 3,0.0
pid:74/2457,Smita Krishnaswamy,74/2457,0000-0001-5823-1985,10,5,2,Community 3,0.0
pid:187/1680,Daniel E. Worrall,187/1680,0000-0002-9810-0709,6,5,2,Community 3,0.0
pid:19/1924-5,Qi Wang 0005,19/1924-5,0000-0001-6135-6965,10,4,2,Community 3,0.0
pid:84/2061,Gertjan J. Burghouts,84/2061,0000-0001-6265-7276,7,4,2,Community 3,0.0
pid:49/67-38,Xiao Wang 0038,49/67-38,0009-0002-4468-4398,7,4,2,Community 3,0.0
pid:305/0160,Miltiadis Kofinas,305/0160,0000-0002-3392-4037,5,4,2,Community 3,0.0
pid:20/4093,Jan-Jakob Sonke,20/4093,0000-0001-5155-5274,4,4,2,Community 3,0.0
pid:s/RSrikant,Rayadurgam Srikant,s/RSrikant,0000-0003-1483-5204,15,3,2,Community 3,0.0
pid:01/5329,Alán Aspuru-Guzik,01/5329,0000-0002-8277-4434,13,3,2,Community 3,0.0
pid:190/7491,Tal Schuster,190/7491,0000-0002-7772-8230,12,3,2,Community 3,0.0
pid:179/2389,Chen Tessler,179/2389,0000-0001-6447-9864,5,3,2,Community 3,0.0
pid:37/7272,Martin R. Oswald,37/7272,0000-0002-1183-9958,5,3,2,Community 3,0.0
pid:296/3702,Samuele S. Papa,296/3702,0000-0002-3221-0788,5,3,2,Community 3,0.0
pid:205/7219,Aoran Xiao,205/7219,0000-0002-2956-0613,4,3,2,Community 3,0.0
pid:322/4002,Joel Oskarsson,322/4002,0000-0002-8201-0282,3,3,2,Community 3,0.0
pid:61/6343,Mingyuan Zhou,61/6343,0000-0002-4253-2780,87,101,3,Community 4,3.346534653465347
pid:89/5615-1,Bo Chen 0001,89/5615-1,0000-0001-5151-9388,32,74,3,Community 4,0.0
pid:134/9314-1,Chaojie Wang 0001,134/9314-1,0000-0002-7644-7621,14,39,3,Community 4,1.282051282051282
pid:98/3487-1,He Zhao 0001,98/3487-1,0000-0003-0894-2265,22,36,3,Community 4,0.5
pid:268/2560,Zhibin Duan,268/2560,0009-0000-3353-9975,11,33,3,Community 4,0.0
pid:71/5859,Dinh Q. Phung,71/5859,0000-0002-9977-8247,30,30,3,Community 4,0.0
pid:88/8728,Trung Le 0001,88/8728,0000-0003-0414-9067,29,29,3,Community 4,0.0
pid:23/2168,Lawrence Carin,23/2168,0000-0001-6277-7948,70,28,3,Community 4,0.0
pid:21/841-3,Dongsheng Wang 0003,21/841-3,0000-0002-3380-5337,10,28,3,Community 4,0.0
pid:z/HongyuanZha,Hongyuan Zha,z/HongyuanZha,0000-0001-7493-0911,47,27,3,Community 4,1.1851851851851851
pid:08/7975-2,Ruiyi Zhang 0002,08/7975-2,0000-0002-8157-6364,17,19,3,Community 4,0.0
pid:32/1593-1,Tong Yu 0001,32/1593-1,0000-0002-5991-2050,16,19,3,Community 4,2.631578947368421
pid:55/2270-50,Hao Zhang 0050,55/2270-50,0000-0002-2928-2692,7,17,3,Community 4,0.0
pid:17/5085,Ryan A. Rossi,17/5085,0000-0001-9758-0635,23,11,3,Community 4,0.0
pid:38/10816,Hongteng Xu,38/10816,0000-0003-4192-5360,16,11,3,Community 4,0.0
pid:98/1504-2,Lan Du 0002,98/1504-2,0000-0002-9925-0223,7,10,3,Community 4,0.0
pid:72/3885,Wray L. Buntine,72/3885,0000-0001-9292-1015,6,9,3,Community 4,0.0
pid:22/2752-3,Yuxin Li 0003,22/2752-3,0000-0002-5935-0684,4,8,3,Community 4,0.0
pid:73/7781,Baoyuan Wu,73/7781,0000-0003-2183-5990,17,7,3,Community 4,2.571428571428571
pid:d/NickGDuffield,Nick Duffield,d/NickGDuffield,0000-0001-7211-1584,6,7,3,Community 4,0.0
pid:11/444-1,Wenhao Li 0001,11/444-1,0000-0003-2985-1098,5,7,3,Community 4,0.0
pid:72/4303,Krishna Narayanan 0001,72/4303,0000-0001-8742-5332,4,7,3,Community 4,0.0
pid:30/11107,David E. Carlson,30/11107,0000-0003-1005-6385,12,6,3,Community 4,0.0
pid:74/3468-3,Bo Jin 0003,74/3468-3,0000-0003-1028-5989,3,6,3,Community 4,0.0
pid:116/9404-1,Namyong Park 0001,116/9404-1,0000-0002-3344-2361,5,5,3,Community 4,0.0
pid:23/1754,Edwin V. Bonilla,23/1754,0000-0002-9904-2408,20,4,3,Community 4,0.0
pid:99/5088-5,Tong Sun 0005,99/5088-5,0009-0007-5470-0167,7,4,3,Community 4,0.0
pid:84/3994,Hanna M. Wallach,84/3994,0000-0003-3395-7186,6,4,3,Community 4,0.0
pid:230/8348,Kevin J. Liang,230/8348,0000-0002-0221-9108,5,4,3,Community 4,0.0
pid:20/3825-2,Kai Fan 0002,20/3825-2,0000-0002-8256-0807,6,3,3,Community 4,0.0
pid:64/3062-10,Xiang Chen 0010,64/3062-10,0000-0003-2790-976X,6,3,3,Community 4,0.0
pid:76/4051-1,Zhao Song 0001,76/4051-1,0000-0001-5263-7044,6,3,3,Community 4,0.0
pid:49/6002-43,Jian Chen 0043,49/6002-43,0000-0002-1999-1137,4,3,3,Community 4,0.0
pid:43/5900-1,Hongwei Liu 0001,43/5900-1,0000-0003-4046-163X,3,3,3,Community 4,0.0
pid:68/10575-1,Tianlong Chen 0001,68/10575-1,0000-0001-7774-8197,83,77,4,Community 5,2.103896103896104
pid:117/2756-1,Zhaoran Wang 0001,117/2756-1,0000-0002-1824-2580,107,70,4,Community 5,6.914285714285715
pid:128/6972-1,Sijia Liu 0001,128/6972-1,0000-0003-2817-6991,59,70,4,Community 5,0.2571428571428571
pid:45/7737-1,Yanzhi Wang 0001,45/7737-1,0000-0002-3024-7990,27,64,4,Community 5,0.0
pid:57/8053,Mingyi Hong 0001,57/8053,0000-0003-1263-9365,61,61,4,Community 5,0.0
pid:234/8697-3,Shiwei Liu 0003,234/8697-3,0009-0001-1255-4436,34,46,4,Community 5,1.5652173913043477
pid:07/4227-1,Tong Zhang 0001,07/4227-1,0000-0002-5511-2558,94,40,4,Community 5,18.0
pid:76/2265,Wotao Yin,76/2265,0000-0001-6697-9731,34,40,4,Community 5,0.44999999999999996
pid:94/3802-1,Xiaohan Chen 0001,94/3802-1,0000-0002-0360-0402,22,38,4,Community 5,0.0
pid:80/3311,Aaron Roth 0001,80/3311,0000-0002-0586-0515,39,36,4,Community 5,0.0
pid:137/8350,Zhiwei Steven Wu,137/8350,0000-0002-8125-8227,69,34,4,Community 5,0.0
pid:49/3073-4,Yifan Gong 0004,49/3073-4,0000-0002-3912-097X,11,34,4,Community 5,0.0
pid:37/4649,Mykola Pechenizkiy,37/4649,0000-0003-4955-0743,20,33,4,Community 5,0.9696969696969697
pid:164/7314,Rose Yu,164/7314,0000-0002-8491-7937,37,32,4,Community 5,0.0
pid:258/3416,Robin Walters 0001,258/3416,0000-0001-7751-2379,29,31,4,Community 5,0.0
pid:156/4008-1,Zheng Zhan 0001,156/4008-1,0000-0002-3882-5484,9,31,4,Community 5,0.0
pid:120/6981,Yingyan Lin 0001,120/6981,0000-0001-5946-203X,29,29,4,Community 5,0.0
pid:49/1245-2,Jia Liu 0002,49/1245-2,0000-0001-8844-3233,27,27,4,Community 5,0.6666666666666666
pid:133/7764,Decebal Constantin Mocanu,133/7764,0000-0002-5636-7683,11,26,4,Community 5,0.0
pid:78/6858,Michael J. Kearns,78/6858,0000-0001-7569-0147,16,24,4,Community 5,0.0
pid:94/7236-1,Xue Lin 0001,94/7236-1,0000-0001-6210-8883,11,24,4,Community 5,0.75
pid:35/2899-1,Han Liu 0001,35/2899-1,0000-0002-2470-1755,49,23,4,Community 5,2.1739130434782608
pid:93/6765-3,Meng Wang 0003,93/6765-3,0000-0003-0928-9691,14,23,4,Community 5,0.0
pid:32/5050-3,Jialin Liu 0003,32/5050-3,0000-0002-0861-1856,11,23,4,Community 5,0.0
pid:75/8475-1,Pu Zhao 0001,75/8475-1,0000-0001-5018-2859,8,23,4,Community 5,0.0
pid:68/828-2,Wei Niu 0002,68/828-2,0000-0002-2697-7042,7,21,4,Community 5,0.0
pid:29/9875,Hoi-To Wai,29/9875,0000-0003-4796-4483,19,19,4,Community 5,0.0
pid:158/4888,Prashant Khanduri,158/4888,0000-0003-3055-2917,9,19,4,Community 5,0.0
pid:71/208-15,Shuai Zhang 0015,71/208-15,0000-0001-8280-6988,9,18,4,Community 5,0.0
pid:123/5728,Animesh Garg,123/5728,0000-0003-0482-4296,29,17,4,Community 5,2.9411764705882355
pid:140/1229-3,Lingxiao Wang 0003,140/1229-3,0000-0002-1654-4681,11,17,4,Community 5,0.0
pid:42/6940,Stratis Ioannidis,42/6940,0000-0001-8355-4751,7,17,4,Community 5,0.0
pid:96/3060-1,Yu Cheng 0001,96/3060-1,0000-0002-2315-5641,30,16,4,Community 5,0.0
pid:75/2307-1,Lei Han 0001,75/2307-1,0000-0003-1404-2415,16,16,4,Community 5,2.0
pid:24/6000,Jennifer G. Dy,24/6000,0000-0002-8430-134X,11,13,4,Community 5,0.0
pid:43/7829-1,Haibo Yang 0001,43/7829-1,0000-0002-3245-2728,10,13,4,Community 5,0.0
pid:92/1942-10,Rui Yang 0010,92/1942-10,0000-0003-3525-1726,10,13,4,Community 5,1.3846153846153846
pid:94/1825-2,Jie Ding 0002,94/1825-2,0000-0002-3584-6140,17,12,4,Community 5,0.0
pid:230/4247,Haoran You,230/4247,0000-0002-2873-2153,9,12,4,Community 5,0.0
pid:117/3518,Aaditya Ramdas,117/3518,0000-0003-0497-311X,38,11,4,Community 5,1.6363636363636362
pid:178/3243,Yi-An Ma,178/3243,0000-0001-6074-6638,23,11,4,Community 5,0.0
pid:74/4607-1,Kun Yuan 0001,74/4607-1,0000-0001-8394-8187,16,11,4,Community 5,0.0
pid:81/1130,Jinjun Xiong,81/1130,0000-0002-2620-4859,12,11,4,Community 5,0.0
pid:43/7716-2,Zifeng Wang 0002,43/7716-2,0000-0002-0068-9042,10,11,4,Community 5,0.0
pid:33/4822-36,Yue Wang 0036,33/4822-36,0000-0001-5889-0729,5,11,4,Community 5,0.0
pid:117/4968,Bo Waggoner,117/4968,0000-0002-1366-1065,12,10,4,Community 5,0.0
pid:94/4810-28,Bo Zhao 0028,94/4810-28,0000-0003-3218-6471,6,10,4,Community 5,0.0
pid:88/619-11,Peng Sun 0011,88/619-11,0000-0002-8187-9736,6,10,4,Community 5,10.799999999999999
pid:166/2979,Ziang Chen,166/2979,0000-0002-8298-5223,10,9,4,Community 5,0.0
pid:229/8206,Xiaoye Qu,229/8206,0000-0002-4907-3978,8,9,4,Community 5,0.0
pid:83/622-7,Ning Liu 0007,83/622-7,0000-0003-4943-6625,7,9,4,Community 5,0.0
pid:21/6121-8,Peng Liu 0008,21/6121-8,0000-0001-6568-1335,4,9,4,Community 5,0.0
pid:06/2293-86,Rui Wang 0086,06/2293-86,0000-0003-2601-9597,6,8,4,Community 5,0.0
pid:51/5612-3,Yiming Chen 0003,51/5612-3,0000-0002-0720-4642,5,8,4,Community 5,0.0
pid:30/9879-1,Ruoyu Sun 0001,30/9879-1,0000-0003-2487-5322,28,7,4,Community 5,0.0
pid:137/8445,Ryan M. Rogers,137/8445,0000-0002-0545-9350,10,7,4,Community 5,0.0
pid:95/5308-1,Yang Shen 0001,95/5308-1,0000-0002-1703-7796,9,7,4,Community 5,0.0
pid:254/3021,Duncan Watson-Parris,254/3021,0000-0002-5312-4950,4,7,4,Community 5,0.0
pid:222/3271,Jessica Sorrell,222/3271,0000-0001-9227-1032,4,7,4,Community 5,0.0
pid:15/2026,Vahid Tarokh,15/2026,0000-0003-2994-6302,19,6,4,Community 5,0.0
pid:59/2180-5,Jian Ren 0005,59/2180-5,0000-0003-3111-4134,17,6,4,Community 5,0.0
pid:l/XiaomingLiu0002,Xiaoming Liu 0002,l/XiaomingLiu0002,0000-0003-3215-8753,10,6,4,Community 5,0.0
pid:39/5434,Robert Platt 0001,39/5434,0009-0001-2033-3473,7,6,4,Community 5,0.0
pid:189/3972,Tianjin Huang,189/3972,0000-0002-7740-8843,7,6,4,Community 5,0.0
pid:66/10956,Xulong Tang,66/10956,0000-0002-3385-2053,5,6,4,Community 5,0.0
pid:50/2082-13,Yang Zhao 0013,50/2082-13,0000-0001-8023-1551,4,6,4,Community 5,0.0
pid:24/4105-2,Wei Wei 0002,24/4105-2,0000-0003-4488-0102,3,6,4,Community 5,0.0
pid:08/7068,Mladen Kolar,08/7068,0000-0001-7353-3404,15,5,4,Community 5,0.0
pid:76/1584-54,Xin Zhang 0054,76/1584-54,0000-0002-0784-2038,9,5,4,Community 5,0.0
pid:32/2533-1,Alfredo García 0001,32/2533-1,0000-0002-2761-7479,5,5,4,Community 5,0.0
pid:35/2573,Lawson L. S. Wong,35/2573,0000-0002-9944-7587,7,4,4,Community 5,0.0
pid:08/8676-1,Christopher Jung 0001,08/8676-1,0000-0001-6704-8373,5,4,4,Community 5,0.0
pid:277/5175,Yongduo Sui,277/5175,0000-0003-4492-147X,5,4,4,Community 5,0.0
pid:49/2959-2,Jie Peng 0002,49/2959-2,0000-0003-3805-9326,4,4,4,Community 5,0.0
pid:72/872-17,Qiang Li 0017,72/872-17,0000-0001-5609-3320,4,4,4,Community 5,0.0
pid:64/435-3,Yanli Liu 0003,64/435-3,0000-0001-6584-1378,4,4,4,Community 5,0.0
pid:38/6013-1,Ying Ding 0001,38/6013-1,0000-0003-2567-2009,4,4,4,Community 5,0.0
pid:37/10269,Qiaomin Xie,37/10269,0000-0003-2834-6866,12,3,4,Community 5,0.0
pid:126/4933,Mark Bun,126/4933,0000-0002-5855-8045,10,3,4,Community 5,0.0
pid:70/1726-4,Meng Li 0004,70/1726-4,0000-0002-7212-2264,9,3,4,Community 5,0.0
pid:07/5751-5,Hao Tang 0005,07/5751-5,0000-0002-2077-1246,7,3,4,Community 5,0.0
pid:25/7257-9,Xin Dong 0009,25/7257-9,0000-0001-8727-8088,7,3,4,Community 5,0.0
pid:181/2667-8,Jian Tang 0008,181/2667-8,0000-0003-4418-0114,6,3,4,Community 5,0.0
pid:144/1634,Haoyu Ma,144/1634,0000-0001-6646-2644,5,3,4,Community 5,0.0
pid:188/5953,Jessica Finocchiaro,188/5953,0000-0002-3222-0089,5,3,4,Community 5,0.0
pid:63/1006,Qingjiang Shi,63/1006,0000-0003-0507-9080,5,3,4,Community 5,0.0
pid:98/2327,Ramana Rao Kompella,98/2327,0000-0002-7559-8997,5,3,4,Community 5,0.0
pid:217/8678-2,Ziyi Wu 0002,217/8678-2,0000-0002-8247-5872,5,3,4,Community 5,0.0
pid:02/6854-2,Bin Ren 0002,02/6854-2,0000-0002-4116-5237,4,3,4,Community 5,0.0
pid:45/3158-6,Chao Wu 0006,45/3158-6,0000-0002-7829-1413,3,3,4,Community 5,0.0
pid:77/1318-37,Feng Liu 0037,77/1318-37,0000-0003-2103-4659,3,3,4,Community 5,0.0
pid:72/9576,Peter J. Castaldi,72/9576,0000-0001-9920-4713,3,3,4,Community 5,0.0
pid:97/6505-15,Qing Wang 0015,97/6505-15,0000-0003-3767-5266,3,3,4,Community 5,0.0
pid:119/6727-3,Shang Wu 0003,119/6727-3,0000-0001-6467-7166,3,3,4,Community 5,0.0
pid:143/5875-2,Yongxin Chen 0002,143/5875-2,0000-0002-1459-6365,3,3,4,Community 5,0.0
pid:03/4755-5,Yue Dai 0005,03/4755-5,0000-0003-4436-0991,3,3,4,Community 5,0.0
pid:42/898-2,Zilong Wang 0002,42/898-2,0000-0002-1614-0943,3,3,4,Community 5,0.0
pid:43/3011,Stephan Günnemann,43/3011,0000-0001-7772-5059,82,25,5,Community 6,0.0
pid:228/7897,Johannes Klicpera,228/7897,0000-0001-9388-6389,12,11,5,Community 6,0.0
pid:259/2852,Leo Schwinn,259/2852,0000-0003-3967-2202,8,5,5,Community 6,0.0
pid:240/9194,Yan Scholten,240/9194,0000-0002-3293-7733,5,5,5,Community 6,0.0
pid:t/FabianJTheis,Fabian J. Theis,t/FabianJTheis,0000-0002-2419-1943,11,4,5,Community 6,0.0
