country_name,affiliation,paper_count,country_paper_count,global_share_percent,country_share_percent
United States,Google (United States),297,1231,7.930574098798397,24.12672623883022
United States,Carnegie Mellon University,93,1231,2.4833110814419226,7.554833468724614
United States,University of Wisconsin–Madison,74,1231,1.9759679572763686,6.011372867587327
United States,Massachusetts Institute of Technology,71,1231,1.8958611481975967,5.767668562144598
United States,University of Illinois Urbana-Champaign,63,1231,1.6822429906542056,5.117790414297319
United States,Georgia Institute of Technology,61,1231,1.6288384512683578,4.955320877335499
United States,Stanford University,56,1231,1.4953271028037385,4.54914703493095
United States,Columbia University,51,1231,1.361815754339119,4.1429731925264015
United States,"University of California, Berkeley",51,1231,1.361815754339119,4.1429731925264015
United States,Princeton University,46,1231,1.2283044058744994,3.736799350121852
United States,University of North Carolina at Chapel Hill,46,1231,1.2283044058744994,3.736799350121852
United States,Harvard University,41,1231,1.0947930574098799,3.3306255077173033
United States,Boston University,39,1231,1.041388518024032,3.168155970755483
United States,University of Washington,39,1231,1.041388518024032,3.168155970755483
United States,Cornell University,37,1231,0.9879839786381843,3.0056864337936635
United States,Amazon (United States),36,1231,0.9612817089452604,2.924451665312754
United States,University of Southern California,35,1231,0.9345794392523363,2.843216896831844
United States,Johns Hopkins University,32,1231,0.8544726301735648,2.5995125913891144
United States,New York University,32,1231,0.8544726301735648,2.5995125913891144
United States,"University of Maryland, College Park",31,1231,0.8277703604806409,2.518277822908205
China,Shanghai Jiao Tong University,90,871,2.403204272363151,10.332950631458095
China,Peking University,72,871,1.9225634178905209,8.266360505166476
China,Chinese Academy of Sciences,67,871,1.7890520694259011,7.6923076923076925
China,Tsinghua University,67,871,1.7890520694259011,7.6923076923076925
China,University of Electronic Science and Technology of China,55,871,1.4686248331108143,6.3145809414466125
China,University of Science and Technology of China,54,871,1.4419225634178905,6.199770378874857
China,Zhejiang University,45,871,1.2016021361815754,5.1664753157290475
China,Sun Yat-sen University,41,871,1.0947930574098799,4.707233065442021
China,Beijing Institute of Technology,39,871,1.041388518024032,4.477611940298507
China,Beijing University of Posts and Telecommunications,39,871,1.041388518024032,4.477611940298507
China,Kunming University of Science and Technology,38,871,1.014686248331108,4.3628013777267505
China,Xidian University,36,871,0.9612817089452604,4.133180252583238
China,Huazhong University of Science and Technology,33,871,0.8811748998664887,3.788748564867968
China,Shanghai University,31,871,0.8277703604806409,3.5591274397244548
China,Central South University,29,871,0.774365821094793,3.329506314580941
China,National University of Defense Technology,29,871,0.774365821094793,3.329506314580941
China,Fudan University,27,871,0.7209612817089452,3.0998851894374284
China,Tongji University,27,871,0.7209612817089452,3.0998851894374284
China,Northwestern Polytechnical University,26,871,0.6942590120160214,2.9850746268656714
China,Renmin University of China,26,871,0.6942590120160214,2.9850746268656714
United Kingdom,University of Oxford,55,327,1.4686248331108143,16.819571865443425
United Kingdom,University of Cambridge,34,327,0.9078771695594126,10.397553516819572
United Kingdom,Microsoft Research (United Kingdom),33,327,0.8811748998664887,10.091743119266056
United Kingdom,Google DeepMind (United Kingdom),32,327,0.8544726301735648,9.785932721712538
United Kingdom,Imperial College London,32,327,0.8544726301735648,9.785932721712538
United Kingdom,University of Edinburgh,19,327,0.507343124165554,5.81039755351682
United Kingdom,University College London,16,327,0.4272363150867824,4.892966360856269
United Kingdom,University of Warwick,16,327,0.4272363150867824,4.892966360856269
United Kingdom,Qualcomm (United Kingdom),13,327,0.3471295060080107,3.9755351681957185
United Kingdom,DeepMind (United Kingdom),12,327,0.32042723631508674,3.669724770642202
United Kingdom,University of Bristol,10,327,0.26702269692923897,3.058103975535168
United Kingdom,Queen Mary University of London,8,327,0.2136181575433912,2.4464831804281344
United Kingdom,King's College London,7,327,0.1869158878504673,2.1406727828746175
United Kingdom,Meta (United Kingdom),7,327,0.1869158878504673,2.1406727828746175
United Kingdom,Apple (United Kingdom),6,327,0.16021361815754337,1.834862385321101
United Kingdom,Science Oxford,6,327,0.16021361815754337,1.834862385321101
United Kingdom,University of Manchester,6,327,0.16021361815754337,1.834862385321101
United Kingdom,Lancaster University,5,327,0.13351134846461948,1.529051987767584
United Kingdom,Swansea University,5,327,0.13351134846461948,1.529051987767584
United Kingdom,University of Exeter,5,327,0.13351134846461948,1.529051987767584
Switzerland,ETH Zurich,90,181,2.403204272363151,49.72375690607735
Switzerland,École Polytechnique Fédérale de Lausanne,51,181,1.361815754339119,28.176795580110497
Hong Kong,Hong Kong University of Science and Technology,43,181,1.1481975967957276,23.756906077348066
Hong Kong,Chinese University of Hong Kong,36,181,0.9612817089452604,19.88950276243094
Hong Kong,City University of Hong Kong,36,181,0.9612817089452604,19.88950276243094
Hong Kong,Hong Kong Polytechnic University,30,181,0.801068090787717,16.574585635359114
Hong Kong,University of Hong Kong,26,181,0.6942590120160214,14.3646408839779
Switzerland,Google (Switzerland),11,181,0.2937249666221629,6.077348066298343
Hong Kong,Hong Kong Baptist University,10,181,0.26702269692923897,5.524861878453039
Switzerland,Idiap Research Institute,6,181,0.16021361815754337,3.314917127071823
Switzerland,Università della Svizzera italiana,4,181,0.1068090787716956,2.209944751381215
Switzerland,IBM Research - Zurich,3,181,0.08010680907877168,1.6574585635359116
Switzerland,University of Basel,3,181,0.08010680907877168,1.6574585635359116
Switzerland,University of Fribourg,3,181,0.08010680907877168,1.6574585635359116
Switzerland,University of Geneva,3,181,0.08010680907877168,1.6574585635359116
Switzerland,Children's Oncology Group,1,181,0.0267022696929239,0.5524861878453038
Switzerland,Dalle Molle Institute for Artificial Intelligence Research,1,181,0.0267022696929239,0.5524861878453038
Switzerland,Friedrich Miescher Institute,1,181,0.0267022696929239,0.5524861878453038
Switzerland,Swiss Federal Institute of Aquatic Science and Technology,1,181,0.0267022696929239,0.5524861878453038
Switzerland,Toyota Motor Corporation (Switzerland),1,181,0.0267022696929239,0.5524861878453038
Switzerland,University of St.Gallen,1,181,0.0267022696929239,0.5524861878453038
Switzerland,ZHAW Zurich University of Applied Sciences,1,181,0.0267022696929239,0.5524861878453038
Germany,Technical University of Munich,26,159,0.6942590120160214,16.352201257861633
Germany,Helmholtz Center for Information Security,13,159,0.3471295060080107,8.176100628930817
Germany,University of Tübingen,12,159,0.32042723631508674,7.547169811320755
Germany,Max Planck Institute for Intelligent Systems,10,159,0.26702269692923897,6.289308176100629
Germany,Karlsruhe Institute of Technology,9,159,0.2403204272363151,5.660377358490567
Germany,Technische Universität Darmstadt,8,159,0.2136181575433912,5.031446540880504
Germany,Bielefeld University,7,159,0.1869158878504673,4.40251572327044
Germany,LMU Klinikum,7,159,0.1869158878504673,4.40251572327044
Germany,Max Planck Institute for Software Systems,7,159,0.1869158878504673,4.40251572327044
Germany,Technical University of Darmstadt,7,159,0.1869158878504673,4.40251572327044
Germany,University of Mannheim,7,159,0.1869158878504673,4.40251572327044
Germany,BST Bio Sensor Technology (Germany),6,159,0.16021361815754337,3.7735849056603774
Germany,Bernstein Center for Computational Neuroscience Tübingen,6,159,0.16021361815754337,3.7735849056603774
Germany,Ruhr University Bochum,6,159,0.16021361815754337,3.7735849056603774
Germany,University of Bonn,6,159,0.16021361815754337,3.7735849056603774
Germany,Amazon (Germany),5,159,0.13351134846461948,3.1446540880503147
Germany,Technische Universität Berlin,5,159,0.13351134846461948,3.1446540880503147
Germany,Friedrich-Alexander-Universität Erlangen-Nürnberg,4,159,0.1068090787716956,2.515723270440252
Germany,German Research Centre for Artificial Intelligence,4,159,0.1068090787716956,2.515723270440252
Germany,Hasso Plattner Institute,4,159,0.1068090787716956,2.515723270440252
Israel,Hebrew University of Jerusalem,42,152,1.1214953271028036,27.631578947368425
Israel,Tel Aviv University,33,152,0.8811748998664887,21.710526315789476
Israel,Bar-Ilan University,18,152,0.4806408544726302,11.842105263157894
Israel,Technion – Israel Institute of Technology,16,152,0.4272363150867824,10.526315789473683
Israel,Ben-Gurion University of the Negev,9,152,0.2403204272363151,5.921052631578947
Israel,Meta (Israel),9,152,0.2403204272363151,5.921052631578947
Israel,Apple (Israel),7,152,0.1869158878504673,4.605263157894736
Israel,Microsoft (Israel),4,152,0.1068090787716956,2.631578947368421
Israel,Ariel University,3,152,0.08010680907877168,1.9736842105263157
Israel,Broadcom (Israel),3,152,0.08010680907877168,1.9736842105263157
Israel,Weizmann Institute of Science,3,152,0.08010680907877168,1.9736842105263157
